url,source_type,content_type,fiscal_year,fiscal_quarter,priority,notes
https://seekingalpha.com/symbol/WDAY/earnings/transcripts,earnings_transcript,listing,,,high,Seeking Alpha Workday transcripts (public only)
https://www.fool.com/quote/nasdaq/workday/wday/,earnings_transcript,listing,,,medium,Motley Fool Workday page
