Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-10-01 00:00:00-04:00,49.099998474121094,57.099998474121094,46.0,54.5,19094400,0.0,0.0
2013-01-01 00:00:00-05:00,54.97999954223633,65.0,50.040000915527344,61.630001068115234,30029000,0.0,0.0
2013-04-01 00:00:00-04:00,61.560001373291016,69.75,55.25,64.08999633789062,84940900,0.0,0.0
2013-07-01 00:00:00-04:00,64.5,84.41999816894531,63.52000045776367,80.93000030517578,55785500,0.0,0.0
2013-10-01 00:00:00-04:00,80.7300033569336,83.69000244140625,70.83999633789062,83.16000366210938,63303100,0.0,0.0
2014-01-01 00:00:00-05:00,82.27999877929688,116.47000122070312,80.55000305175781,91.43000030517578,101607100,0.0,0.0
2014-04-01 00:00:00-04:00,91.55000305175781,96.48999786376953,64.20999908447266,89.86000061035156,180816100,0.0,0.0
2014-07-01 00:00:00-04:00,90.0199966430664,94.48999786376953,76.8499984741211,82.5,94026100,0.0,0.0
2014-10-01 00:00:00-04:00,82.05000305175781,97.4000015258789,75.2300033569336,81.61000061035156,91629000,0.0,0.0
2015-01-01 00:00:00-05:00,81.81999969482422,95.16999816894531,76.36000061035156,84.41000366210938,88790100,0.0,0.0
2015-04-01 00:00:00-04:00,83.58999633789062,93.62000274658203,75.69999694824219,76.38999938964844,100039200,0.0,0.0
2015-07-01 00:00:00-04:00,76.95999908447266,85.25,65.33000183105469,68.86000061035156,99954600,0.0,0.0
2015-10-01 00:00:00-04:00,69.51000213623047,85.66999816894531,69.33000183105469,79.68000030517578,79550300,0.0,0.0
2016-01-01 00:00:00-05:00,77.79000091552734,78.6500015258789,47.31999969482422,76.83999633789062,174338700,0.0,0.0
2016-04-01 00:00:00-04:00,76.44000244140625,82.0,69.0,74.66999816894531,107633400,0.0,0.0
2016-07-01 00:00:00-04:00,74.26000213623047,92.45999908447266,71.30000305175781,91.69000244140625,99548600,0.0,0.0
2016-10-01 00:00:00-04:00,91.55999755859375,93.3499984741211,65.79000091552734,66.08999633789062,117722200,0.0,0.0
2017-01-01 00:00:00-05:00,66.75,92.45999908447266,66.75,83.27999877929688,108785600,0.0,0.0
2017-04-01 00:00:00-04:00,83.2699966430664,104.80000305175781,80.76000213623047,97.0,102518800,0.0,0.0
2017-07-01 00:00:00-04:00,97.72000122070312,111.44999694824219,94.4000015258789,105.38999938964844,92347600,0.0,0.0
2017-10-01 00:00:00-04:00,105.30000305175781,116.88999938964844,95.3499984741211,101.73999786376953,113652300,0.0,0.0
2018-01-01 00:00:00-05:00,102.05000305175781,139.89999389648438,100.23999786376953,127.11000061035156,105179200,0.0,0.0
2018-04-01 00:00:00-04:00,125.83999633789062,138.64999389648438,117.23999786376953,121.12000274658203,114331600,0.0,0.0
2018-07-01 00:00:00-04:00,120.0,157.1199951171875,119.5999984741211,145.97999572753906,108598900,0.0,0.0
2018-10-01 00:00:00-04:00,147.19000244140625,172.6699981689453,117.72000122070312,159.67999267578125,156984000,0.0,0.0
2019-01-01 00:00:00-05:00,155.9600067138672,200.0,152.32000732421875,192.85000610351562,119549700,0.0,0.0
2019-04-01 00:00:00-04:00,193.50999450683594,221.0,179.0800018310547,205.5800018310547,108171000,0.0,0.0
2019-07-01 00:00:00-04:00,210.35000610351562,226.8300018310547,163.25999450683594,169.9600067138672,116132500,0.0,0.0
