Date,Open,High,Low,Close,Volume,year,quarter,CloseLag1,log_return,log_return_lag1,log_return_lag2,Target
2021-07-01,238.11000061035156,278.2300109863281,220.00999450683594,249.889999,102250000,2021,3,238.740005,0.045646,-0.039786,0.036148,1
2021-10-01,250.0,307.80999755859375,246.4499969482422,273.179993,97347200,2021,4,249.889999,0.08911,0.045646,-0.039786,1
2022-01-01,271.9599914550781,272.5,205.89999389648438,239.460007,152624100,2022,1,273.179993,-0.131744,0.08911,0.045646,0
2022-04-01,237.35000610351562,245.8300018310547,134.52999877929688,139.580002,195544500,2022,2,239.460007,-0.539748,-0.131744,0.08911,0
2022-07-01,140.30999755859375,179.8300018310547,134.10000610351562,152.220001,172815600,2022,3,139.580002,0.086689,-0.539748,-0.131744,1
2022-10-01,152.67999267578125,184.5,128.72000122070312,167.330002,139526100,2022,4,152.220001,0.094641,0.086689,-0.539748,1
2023-01-01,170.6999969482422,206.67999267578125,157.85000610351562,206.539993,125033600,2023,1,167.330002,0.210526,0.094641,0.086689,1
2023-04-01,203.2899932861328,230.6199951171875,174.25,225.889999,129149300,2023,2,206.539993,0.089554,0.210526,0.094641,1
2023-07-01,225.5800018310547,252.72000122070312,202.64999389648438,214.850006,113523100,2023,3,225.889999,-0.050108,0.089554,0.210526,0
2023-10-01,214.85000610351562,279.8299865722656,202.00999450683594,276.059998,112128000,2023,4,214.850006,0.250678,-0.050108,0.089554,1
2024-01-01,273.7300109863281,311.2799987792969,262.55999755859375,272.75,113896100,2024,1,276.059998,-0.012063,0.250678,-0.050108,0
2024-04-01,272.7699890136719,275.760009765625,204.52000427246094,223.559998,162794500,2024,2,272.75,-0.198876,-0.012063,0.250678,0
2024-07-01,223.0,266.82000732421875,199.80999755859375,244.410004,133788000,2024,3,223.559998,0.089167,-0.198876,-0.012063,1
2024-10-01,243.94000244140625,294.0,231.74000549316406,258.029999,204090500,2024,4,244.410004,0.054229,0.089167,-0.198876,1
2025-01-01,260.67999267578125,283.67999267578125,229.2899932861328,233.529999,133410700,2025,1,258.029999,-0.099765,0.054229,0.089167,0
2025-04-01,232.9499969482422,276.0,205.3300018310547,240.0,142804800,2025,2,233.529999,0.027328,-0.099765,0.054229,1
2025-07-01,238.58999633789062,249.85000610351562,206.77000427246094,240.729996,212637800,2025,3,240.0,0.003037,0.027328,-0.099765,1
2025-10-01,239.35000610351562,247.39999389648438,207.6699981689453,214.779999,169409100,2025,4,240.729996,-0.114062,0.003037,0.027328,0
